product_a,product_b,times_bought_together
FUR-CH-4672,OFF-FA-6129,3
OFF-FA-6129,OFF-PA-6468,3
OFF-FA-6129,OFF-ST-3015,3
OFF-AP-4741,OFF-FA-6129,3
OFF-BI-5939,OFF-FA-6129,3
OFF-EN-2852,OFF-FA-6129,3
OFF-AR-5319,OFF-FA-6129,3
FUR-TA-4943,OFF-FA-6129,3
OFF-AR-5921,OFF-BI-3189,3
OFF-AR-5902,OFF-ST-5700,3
OFF-BI-6383,OFF-FA-6208,3
OFF-BI-2895,OFF-BI-2902,3
FUR-FU-6258,OFF-AR-3484,3
FUR-CH-5446,OFF-AR-3526,3
OFF-EN-4916,TEC-AC-5196,3
OFF-EN-5028,OFF-FA-5481,3
FUR-CH-4560,OFF-AR-3498,3
OFF-AR-3498,OFF-ST-6247,3
OFF-AP-4733,OFF-ST-4261,3
OFF-AP-4506,OFF-ST-4261,3
OFF-BI-2917,OFF-ST-6281,3
OFF-EN-4903,OFF-SU-4992,3
OFF-BI-3258,OFF-ST-6057,3
TEC-AC-4178,TEC-AC-5872,3
TEC-CO-5990,TEC-PH-3142,3
OFF-ST-5693,OFF-SU-4125,3
OFF-AR-6120,OFF-FA-6204,3
OFF-BI-3719,OFF-BI-4807,3
OFF-PA-5879,TEC-CO-3591,3
OFF-ST-6057,TEC-AC-5130,3
OFF-AR-3531,OFF-FA-6185,2
OFF-AR-6106,OFF-BI-6382,2
OFF-AR-3538,TEC-AC-5205,2
OFF-BI-4825,OFF-ST-5686,2
FUR-CH-4544,OFF-ST-5686,2
TEC-AC-4172,TEC-PH-3134,2
OFF-BI-4828,OFF-SU-6165,2
OFF-AR-3461,OFF-FA-6185,2
FUR-CH-4530,OFF-SU-4984,2
OFF-SU-3002,TEC-AC-5222,2
OFF-FA-6207,OFF-ST-6282,2
OFF-AR-6127,OFF-LA-5374,2
OFF-FA-6189,TEC-PH-5835,2
OFF-ST-6057,TEC-AC-5196,2
OFF-BI-6402,OFF-ST-6057,2
OFF-BI-6402,TEC-PH-5357,2
OFF-ST-4105,TEC-CO-4765,2
FUR-BO-5967,OFF-EN-3092,2
OFF-AR-3497,OFF-ST-6228,2
FUR-CH-5380,OFF-SU-6161,2
FUR-BO-4854,TEC-PH-3787,2
FUR-FU-4075,OFF-BI-4816,2
FUR-FU-4075,OFF-EN-4446,2
FUR-BO-3646,FUR-FU-3048,2
FUR-FU-5741,OFF-AR-3494,2
OFF-BI-3719,TEC-CO-4592,2
OFF-FA-6198,TEC-CO-3604,2
TEC-AC-4153,TEC-PH-3148,2
OFF-AR-3500,TEC-CO-6010,2
OFF-BI-2882,OFF-BI-4818,2
FUR-BO-3641,FUR-BO-3642,2
FUR-CH-5396,OFF-BI-3714,2
FUR-CH-5378,OFF-BI-3714,2
OFF-BI-3714,TEC-CO-3707,2
FUR-CH-5802,OFF-AP-4496,2
OFF-AR-3488,OFF-EN-4925,2
FUR-BO-5960,FUR-CH-5774,2
OFF-BI-3255,OFF-ST-4094,2
OFF-BI-3255,TEC-PH-5254,2
OFF-EN-3676,TEC-PH-3139,2
OFF-BI-3189,OFF-PA-5893,2
OFF-BI-3293,OFF-EN-3105,2
OFF-ST-6252,TEC-PH-5839,2
OFF-EN-3656,OFF-ST-4095,2
OFF-BI-2898,OFF-ST-4062,2
FUR-BO-4844,FUR-CH-4654,2
FUR-CH-5435,OFF-ST-4269,2
FUR-CH-5439,OFF-BI-2884,2
FUR-CH-5369,TEC-CO-3606,2
OFF-BI-2893,OFF-BI-3249,2
OFF-BI-3249,OFF-SU-4305,2
FUR-CH-5455,OFF-FA-2959,2
OFF-BI-6369,TEC-CO-4770,2
FUR-CH-5752,TEC-AC-5887,2
OFF-LA-3271,OFF-ST-6060,2
OFF-BI-4826,OFF-LA-6042,2
OFF-FA-6190,TEC-CO-3706,2
OFF-ST-6047,TEC-CO-3678,2
OFF-FA-6206,OFF-LA-4542,2
FUR-BO-3904,OFF-PA-5892,2
FUR-FU-6278,OFF-EN-5034,2
OFF-AR-5918,OFF-BI-2892,2
FUR-BO-4844,OFF-AR-3491,2
OFF-BI-2893,OFF-SU-6165,2
FUR-BO-3625,OFF-ST-6275,2
OFF-BI-2913,OFF-BI-4828,2
OFF-BI-2913,OFF-ST-5692,2
OFF-SU-6163,TEC-AC-3395,2
OFF-AR-3481,OFF-AR-5917,2
OFF-BI-3252,OFF-ST-4269,2
OFF-BI-3721,TEC-PH-3142,2
FUR-FU-4084,OFF-ST-6032,2
OFF-FA-2956,OFF-SU-4988,2
OFF-EN-3672,TEC-CO-3596,2
OFF-EN-5024,TEC-PH-5251,2
OFF-LA-6061,TEC-CO-4766,2
OFF-AR-5911,OFF-SU-4137,2
OFF-FA-5473,OFF-ST-4106,2
OFF-AR-3555,OFF-BI-6369,2
OFF-FA-3044,OFF-LA-3315,2
OFF-EN-3110,OFF-EN-4454,2
OFF-BI-2900,OFF-ST-4268,2
FUR-BO-4860,OFF-LA-4555,2
OFF-ST-6067,OFF-SU-4974,2
OFF-AR-6119,TEC-PH-3134,2
OFF-ST-4078,TEC-PH-3148,2
OFF-EN-4449,OFF-SU-4123,2
FUR-BO-4864,OFF-ST-4285,2
FUR-FU-5727,OFF-FA-6208,2
OFF-ST-6038,OFF-ST-6261,2
FUR-CH-4700,OFF-SU-4120,2
OFF-EN-4445,OFF-SU-4129,2
OFF-LA-3315,OFF-PA-5871,2
OFF-BI-4807,OFF-PA-4184,2
OFF-AR-5912,OFF-ST-6228,2
FUR-FU-3065,OFF-AR-3538,2
OFF-AR-6126,OFF-BI-6377,2
OFF-AR-5920,OFF-ST-6032,2
OFF-BI-2882,OFF-BI-3253,2
FUR-FU-3036,OFF-AR-3456,2
FUR-BO-5787,FUR-FU-3951,2
OFF-AR-3471,OFF-ST-4294,2
FUR-CH-4700,OFF-SU-4138,2
FUR-BO-4851,OFF-FA-6190,2
OFF-PA-5849,TEC-PH-3132,2
OFF-BI-4828,TEC-PH-5838,2
OFF-FA-6198,OFF-PA-4483,2
OFF-AR-6125,OFF-SU-2990,2
OFF-EN-4452,TEC-MA-5539,2
TEC-AC-5887,TEC-CO-4586,2
FUR-CH-5773,OFF-AP-4490,2
OFF-BI-6379,TEC-CO-4770,2
OFF-AR-3482,TEC-CO-4780,2
FUR-FU-3956,OFF-BI-3737,2
FUR-FU-4065,TEC-AC-5132,2
OFF-EN-3099,TEC-CO-3596,2
FUR-CH-5776,OFF-AR-6118,2
OFF-BI-4810,OFF-EN-4437,2
OFF-SU-6165,TEC-PH-3802,2
FUR-CH-4700,OFF-EN-3658,2
OFF-EN-3110,TEC-MA-6147,2
TEC-AC-3393,TEC-PH-5813,2
OFF-AR-5904,OFF-SU-4313,2
FUR-CH-4699,OFF-AR-3538,2
OFF-BI-6405,OFF-ST-6057,2
OFF-BI-3293,OFF-FA-6205,2
OFF-BI-3253,OFF-ST-5692,2
OFF-AR-3527,OFF-ST-6024,2
OFF-PA-4162,OFF-PA-4177,2
OFF-PA-5891,OFF-ST-4294,2
OFF-BI-2896,OFF-ST-6264,2
OFF-AR-3538,OFF-AR-5921,2
FUR-BO-4847,OFF-AR-3477,2
OFF-ST-4284,TEC-CO-6009,2
OFF-ST-5700,OFF-ST-6032,2
OFF-FA-5464,OFF-ST-5700,2
OFF-EN-4445,OFF-FA-5464,2
OFF-AR-6120,OFF-BI-6372,2
OFF-AR-3452,OFF-BI-3247,2
OFF-AR-3452,OFF-ST-4057,2
OFF-BI-2915,OFF-ST-6275,2
OFF-AR-5913,TEC-AC-4180,2
OFF-AR-3447,TEC-CO-3608,2
OFF-BI-3737,OFF-BI-6383,2
OFF-AR-3533,OFF-BI-2893,2
OFF-AR-3460,OFF-ST-5689,2
OFF-BI-3189,TEC-PH-3132,2
OFF-AR-5926,OFF-ST-6272,2
OFF-AR-3539,OFF-BI-4825,2
FUR-BO-5942,TEC-MA-5008,2
FUR-CH-4530,OFF-ST-4262,2
OFF-AR-6116,OFF-BI-3737,2
FUR-FU-3955,OFF-FA-6201,2
OFF-AR-6111,OFF-FA-6201,2
OFF-ST-6282,TEC-MA-5019,2
OFF-AR-5904,TEC-PH-5812,2
OFF-LA-4550,OFF-ST-4062,2
OFF-AR-5920,OFF-BI-3722,2
FUR-FU-6256,TEC-AC-5889,2
